Year,Month,Day,Time (in MPH),Speed
2019,12,02,14:01:31,30.279656694805535
2019,12,02,14:01:36,20.21569987985106
2019,12,02,14:01:51,18.44349198764391
2019,12,02,14:01:56,20.27187652473165
2019,12,02,14:02:24,28.786470149185376
2019,12,02,14:02:30,20.630285381714017
2019,12,02,14:02:35,17.336657906992375
2019,12,02,14:02:45,18.917569323960024
2019,12,02,14:02:50,20.65816983197745
2019,12,02,14:16:21,25.694900541827252
2019,12,02,14:16:27,19.31582235760801
2021,03,15,10:38:13,37.19419683917911
2021,03,15,10:38:17,23.292394520325264
2021,03,15,10:38:21,18.798351369225923
2021,03,15,10:38:28,22.854658193199658
2021,03,15,10:38:32,27.5480251717593
2021,03,15,19:06:03,28.553395478444024
2021,03,15,19:06:11,19.301326972281828
2021,03,15,19:06:29,19.77825522437341
2021,03,15,19:06:36,21.49011104944295
2021,03,15,19:06:49,28.925087073981846
2021,03,15,19:06:56,21.357739139577333
2021,03,15,19:19:23,29.192487117487026
2021,03,15,19:20:21,27.89285775663337
2021,03,15,19:21:16,24.218518957135508
2021,03,15,19:21:23,20.3685298936361
2021,03,15,19:21:41,17.877776602347815
2021,03,15,19:23:48,25.94383815529397
2021,03,15,19:24:26,30.63255965599262
2021,03,15,19:24:33,20.138056122202045
2021,03,17,13:38:14,33.87933010852749
2021,03,17,13:38:18,20.206407448208594
2021,03,17,13:38:23,19.610252351227945
2021,03,17,13:38:33,18.096603048842827
2021,03,17,13:38:38,24.649088315951875
2021,03,17,13:38:21,33.136467217586194
2021,03,17,13:38:27,20.551209611535455
2021,03,17,13:38:41,23.880940723739084
2021,03,17,13:38:45,29.162471696860916
2021,03,17,13:39:09,40.862485387919136
2021,03,17,13:39:14,28.653299512015696
2021,03,17,13:39:18,22.079525141477617
2021,03,17,13:39:24,26.484293777653587
2021,03,17,13:39:28,28.68252199955684
2021,03,17,13:39:42,37.0226896258143
2021,03,17,13:39:47,27.829804347342403
2021,03,17,13:39:50,21.881829280969246
2021,03,17,13:39:57,26.927920767670955
2021,03,17,13:40:01,29.713892395241903
2021,03,17,13:40:10,38.588644889113965
2021,03,17,13:40:14,27.78232444728269
2021,03,17,13:40:18,23.175453591258652
2021,03,17,13:40:25,26.692351494554096
2021,03,17,13:40:28,27.671550914457757
2021,03,17,13:40:46,36.60295041428397
2021,03,17,13:42:07,40.19096014634096
2021,03,17,13:42:11,28.654115227447427
2021,03,17,13:42:15,22.639519038970054
2021,03,17,13:42:22,26.540987374720675
2021,03,17,13:42:25,27.642038999824965
2021,03,17,15:09:00,19.542125383891086
2021,03,18,13:22:13,19.46584204445185
2021,03,18,13:22:48,21.39355235810062
2021,03,20,13:03:37,18.549469884517315
2021,03,20,15:03:54,19.72133756605156
2021,03,20,15:10:03,18.401829972531054
2021,03,20,15:36:01,22.01043234111984
2021,03,20,15:39:18,19.989613625013448
2021,03,20,15:44:30,20.289059938077035
2021,03,20,16:22:36,21.646130360663513
2021,03,20,17:57:32,17.90157597251898
2021,03,20,18:02:27,19.534106655683654
2021,03,20,22:13:39,17.150052480356454
2021,03,20,22:16:48,20.10173350966665
